App,Nav Category,Feature/Tab,Description,Maturity,Notes
Business OS,Sales,Quick Add Sale,"Manual multi-channel order entry: channel/payment/customer autofill, fulfillment type, multi-item lines with per-item filament grams/waste/cost auto-calc, Duplicate Order shortcut",Built-out,Dense section-numbered comments document real fixes (SLA from dispatch date etc.)
Business OS,Sales,All Sales,"Filterable/searchable order table across all channels, edit-in-place detail modal",Built-out,
Business OS,Sales,Import & Labels,"Bulk CSV/label import mapping, default COGS/grams settings, paste-from-label-PDF extraction",Standard,
Business OS,Sales,Customers,"Searchable business customer directory (GSTIN field, min-orders filter), separate from Admin Panel customers",Standard,
Business OS,Products,Products,"Internal SKU/COGS tracking, platform-SKU linking (links platform sales to internal product), bulk category-set",Standard,
Business OS,Products,Stock,"Stock movement log (qty +/-, cost, reference/PO note)",Standard,
Business OS,Products,Spool Tracker,"Physical filament spool inventory (brand/type/finish/color/cost-per-gram), status lifecycle, bulk Excel import, Resell Spool flow recording income directly",Built-out,
Business OS,Products,Machinery,"Printer/equipment registry (feeds Balance Sheet) plus print-attempt log with reason codes tied to 7-Day Reprint Guarantee",Thin,No utilization/cost-per-hour analytics despite feeding Balance Sheet
Business OS,Finance,Returns & Claims,"6-stage lifecycle state machine (Initiated to Claim Paid), live COGS recompute, adjusted cost for damaged units, 10-day return window tied to actual Delivered date",Built-out,Documented fixed bug (#8) for duplicate return-row creation
Business OS,Finance,Fees & Costs,"Per-platform (Amazon/Flipkart/Studio/Website) shipping/return/packing fee-range editor, drives auto-calculated return loss",Thin,No history/audit trail of rate changes
Business OS,Finance,GST Summary,"CGST/SGST/IGST breakdown by month backed out from GST-inclusive prices, CA export",Thin,Much simpler than GSTR-1 Auto-File
Business OS,Finance,GST Portal,"Manual upload/recordkeeping of already-filed GSTR-1/3B returns, state-wise sales/tax breakdown with filing reminders",Standard,
Business OS,Finance,GSTR-1 Auto-File,"Flagship module: reconciles Amazon MTR B2B/B2C + Flipkart GSTR-1/8 into GSTR-1 Tables 4/7/12/13, audit-flag cross-checks, CSV export in GST Offline Tool format, filing history, nested GST Purchase Import (review-then-commit)",Built-out,Regression-tested per project docs; most mature module in either app
Business OS,Finance,Invoicing,"Table of every generated invoice with real sequential number, linked to order, month filter, manual invoice number editing",Standard,
Business OS,Finance,Reports & Export,"Six export types: P&L, GST (FY), Channel, Returns, State-wise Analytics, Full Data Dump",Built-out,
Business OS,Finance,Expenses,"Categorized expense log, staff-name field for salary category, GST-inclusive split, recurring-monthly flag, invoice file upload",Standard,
Business OS,Finance,Money In/Out (Ledger),"Studio sales auto-pulled from All Sales, manual income logging (platform payouts or misc), channel-filtered view",Standard,
Business OS,Finance,Purchases,"Vendor purchase log with qty/unit/total auto-calc, invoice upload, optional simultaneous Spool Tracker entry creation",Standard,GST-sourced bulk import added most recently
Business OS,Finance,Balance Sheet,"Bank balance + stock value vs outstanding receivables, view scope (month/FY/all-time), settable opening balance",Standard,
Business OS,Finance,Studio Hours,"Daily open/close log with break times, explicitly informational only",Thin,Intentionally minimal scope per its own subtitle
Business OS,System,Activity Log,"Immutable log across sale/product/customer/return/expense/filament entities, fire-and-forget so it never blocks a save",Standard,Separate audit trail from Admin Panel's Activity Log
Business OS,System,Settings,"Business identity (name/GSTIN/PAN), shared invoice-field customization (Business OS + Admin), contact details, operational defaults (HSN/GST%/making cost)",Standard,Document customization consolidated here from Admin Panel
